MaterialCode,MaterialDescription,Presentation,Retornability,ProductType,Brand,Packaging,Category,Flavor,Container,Size,DetailedSegment,NonCarbonated,BottlesBySKU,BasisMaterialCode,CUEquivalence,ConsumptionOccasion,EAN,ISSCOM
"7919","COCA-COLA LIGHT 2250*6 P      ","COCA COLA LIGHT 2250 ML NO RETORNABLE","NO RETORNABLE","REFRESCOS","COCA COLA LIGHT","2250 ML PET","REFRESCOS","COLA","PET","FAMILIAR","SSD",False,6,"695",2.3776000000031461,"GASEOSA LOW CAL FAMILIAR ","7790895005312","1253053659"
"751","COCA-COLA 2.5*6 PET CT","COCA COLA 2500 ML NO RETORNABLE","NO RETORNABLE","REFRESCOS","COCA COLA","2500 ML PET","REFRESCOS","COLA","PET","FAMILIAR","SSD",False,6,"180",2.6417000911664861,"GASEOSA REGULAR FAMILIAR ","7790895005794","0001053787"
"7503","COCA-COLA 1500*8 VR","COCA COLA 1500 ML RETORNABLE","RETORNABLE","REFRESCOS","COCA COLA","1500 ML RET VIDRIO","REFRESCOS","COLA","RET VIDRIO","FAMILIAR","SSD",False,8,"104",2.1099999999999999,"GASEOSA REGULAR FAMILIAR RETORNABLE","7790895005916","0001051873"
"8260","POWER.MOUNTAIN BLAST 995*6 PET","POWERADE 995 ML NO RETORNABLE","NO RETORNABLE","CATEGORÍAS EN EXPANSIÓN","POWERADE","995 ML PET","CATEGORÍAS EN EXPANSIÓN","MOUNTAIN BLAST","PET","INDIVIDUAL","ISO",True,6,"4075",1.051400000205569,"ISOTONICO REGULAR INDIVIDUAL ","7790895006029","060805A2AA"
"7877","FANTA MANZANA 2250*6 PMP      ","FANTA 2250 ML NO RETORNABLE","NO RETORNABLE","REFRESCOS","FANTA","2250 ML PET","REFRESCOS","MANZANA","PET","FAMILIAR","SSD",False,6,"1595",2.3776000007962081,"GASEOSA REGULAR FAMILIAR ","7790895006081","0202053684"
"8261","POWERADE FRUTAS TROP.995*6 PET","POWERADE 995 ML NO RETORNABLE","NO RETORNABLE","CATEGORÍAS EN EXPANSIÓN","POWERADE","995 ML PET","CATEGORÍAS EN EXPANSIÓN","FRUTOS TROPICALES","PET","INDIVIDUAL","ISO",True,6,"4079",1.0514000000905199,"ISOTONICO REGULAR INDIVIDUAL ","7790895006104","A5IH05A2AA"
"7523","COCA-COLA 3000*6 PET          ","COCA COLA 3000 ML NO RETORNABLE","NO RETORNABLE","REFRESCOS","COCA COLA","3000 ML PET","REFRESCOS","COLA","PET","FAMILIAR","SSD",False,6,"201",3.1701000000161725,"GASEOSA LOW CAL FAMILIAR ","7790895006418","0001050039"
"17058","COCA-COLA LS 3.0L NR 6PET     ","COCA COLA 3000 ML NO RETORNABLE","NO RETORNABLE","REFRESCOS","COCA COLA","3000 ML PET","REFRESCOS","COLA","PET","FAMILIAR","SSD",False,6,"331",3.1700999999999055,"GASEOSA LOW CAL FAMILIAR ","7790895006418","ABT5050039"
"7707","SCHWEPPES TONICA 1500*8P      ","SCHWEPPES 1500 ML NO RETORNABLE","NO RETORNABLE","REFRESCOS","SCHWEPPES","1500 ML PET","REFRESCOS","TONICA","PET","FAMILIAR","SSD",False,8,"3158",2.1133999999999999,"GASEOSA REGULAR FAMILIAR ","7790895006715","4715051872"
"7973","SCHWEPPES TONICA 354*6L       ","SCHWEPPES 354 ML NO RETORNABLE","NO RETORNABLE","REFRESCOS","SCHWEPPES","354 ML LATA","REFRESCOS","TONICA","LATA","INDIVIDUAL","SSD",False,6,"3173",0.37409999995577659,"GASEOSA REGULAR INDIVIDUAL ","7790895006821","4715053860"
"401","COCA-COLA 600*12 PET CT       ","COCA COLA 600 ML NO RETORNABLE","NO RETORNABLE","REFRESCOS","COCA COLA","600 ML PET","REFRESCOS","COLA","PET","INDIVIDUAL","SSD",False,12,"117",1.2681000000818907,"GASEOSA REGULAR INDIVIDUAL ","7790895006968","0001053998"
"404","COCA-COLA LIGHT 600*12 PET CT ","COCA COLA LIGHT 600 ML NO RETORNABLE","NO RETORNABLE","REFRESCOS","COCA COLA LIGHT","600 ML PET","REFRESCOS","COLA","PET","INDIVIDUAL","SSD",False,12,"617",1.2681000000000053,"GASEOSA LOW CAL INDIVIDUAL ","7790895006975","1253053998"
